Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;Degree variance;Normalized degree variance;Average difference of vertex probability;Vertex probability difference variance
2;90;0.06;0.95;329.05;45.30;7.31;1.01;0.08;0.01;2.03;0.76;1.002942648;0.000843275;-0.000000535;0.000000113
2;90;0.08;1.00;429.60;80.53;9.55;1.79;0.11;0.02;2.90;0.76;1.777998688;0.00092223;-0.000016807;0.000000257
2;90;0.10;1.00;547.20;125.82;12.16;2.80;0.14;0.03;3.29;0.77;2.768057287;0.001683694;-0.000181562;0.000001957
2;90;0.12;1.00;655.50;181.18;14.57;4.03;0.16;0.05;3.12;0.77;3.968286927;0.001908613;-0.000945474;0.00002817
2;90;0.14;1.00;740.75;246.61;16.46;5.48;0.18;0.06;3.25;0.78;5.372782418;0.001785633;-0.002866754;0.000170193
2;90;0.16;1.00;858.35;322.10;19.07;7.16;0.21;0.08;2.97;0.79;6.974564902;0.002692811;-0.005752527;0.000471017
2;90;0.18;1.00;947.70;407.66;21.06;9.06;0.24;0.10;3.00;0.79;8.765581847;0.002878649;-0.008491076;0.000730015
2;90;0.20;1.00;1059.20;503.28;23.54;11.18;0.26;0.13;2.63;0.79;10.73670705;0.003902254;-0.010186584;0.000788361
2;90;0.22;1.00;1165.80;608.97;25.91;13.53;0.29;0.15;2.48;0.79;12.87774065;0.004705067;-0.010882392;0.000732097
2;90;0.24;1.00;1265.20;724.73;28.12;16.11;0.32;0.18;2.36;0.80;15.17740909;0.005287317;-0.01107241;0.000661201
2;90;0.26;1.00;1340.75;850.55;29.79;18.90;0.33;0.21;2.28;0.80;17.62336517;0.004899612;-0.011106746;0.000600007
2;90;0.28;1.00;1416.25;986.43;31.47;21.92;0.35;0.25;2.19;0.80;20.20218799;0.005746917;-0.011110792;0.000547944
2;90;0.30;1.00;1537.35;1132.39;34.16;25.16;0.38;0.28;1.98;0.81;22.89938301;0.008273924;-0.011111097;0.000502942
2;90;0.32;1.00;1615.65;1288.40;35.90;28.63;0.40;0.32;1.97;0.81;25.699382;0.008269326;-0.011111111;0.000463612
2;90;0.34;1.00;1688.35;1454.49;37.52;32.32;0.42;0.36;1.92;0.82;28.58554307;0.008414747;-0.011111111;0.000428939
2;90;0.36;1.00;1795.70;1630.64;39.90;36.24;0.45;0.41;1.82;0.82;31.54015064;0.0107807;-0.011111111;0.000398139
2;90;0.38;1.00;1899.55;1816.85;42.21;40.37;0.47;0.45;1.75;0.82;34.54441548;0.011953622;-0.011111111;0.000370598
2;90;0.40;1.00;1981.40;2013.13;44.03;44.74;0.49;0.50;1.70;0.83;37.57847469;0.012313843;-0.011111111;0.000345824
2;90;0.42;1.00;1999.00;2219.48;44.42;49.32;0.50;0.55;1.67;0.83;40.62139167;0.010727184;-0.01111111;0.000323419
2;90;0.44;1.00;2076.75;2435.89;46.15;54.13;0.52;0.61;1.63;0.84;43.65115619;0.012017179;-0.011111054;0.000303059
2;90;0.46;1.00;2187.50;2662.37;48.61;59.16;0.55;0.66;1.59;0.84;46.64468433;0.013473607;-0.011109834;0.000284501
2;90;0.48;1.00;2239.95;2898.91;49.78;64.42;0.56;0.72;1.55;0.84;49.57781849;0.013787644;-0.011094476;0.000267807
2;90;0.50;1.00;2347.70;3145.52;52.17;69.90;0.59;0.79;1.49;0.85;52.42532741;0.016017971;-0.010976763;0.000254398
2;100;0.02;0.00;138.05;6.22;2.76;0.12;0.03;0.00;0.08;0.57;0.124357306;0.000268089;0;0
2;100;0.04;0.75;272.50;24.88;5.45;0.50;0.06;0.01;0.56;0.74;0.496832071;0.000526975;-0.000000007;0.00000002
2;100;0.06;0.95;410.75;55.98;8.22;1.12;0.08;0.01;2.39;0.75;1.115632833;0.000684651;-0.000001251;0.000000096
2;100;0.08;1.00;539.85;99.53;10.80;1.99;0.11;0.02;3.35;0.77;1.977773821;0.001009695;-0.000035285;0.000000287
2;100;0.10;1.00;664.40;155.51;13.29;3.11;0.13;0.03;3.48;0.77;3.07907496;0.001180928;-0.000334064;0.00000595
2;100;0.12;1.00;808.80;223.93;16.18;4.48;0.16;0.05;3.51;0.78;4.414161862;0.001822422;-0.001497461;0.000074133
2;100;0.14;1.00;934.30;304.80;18.69;6.10;0.19;0.06;3.31;0.78;5.976465836;0.002081779;-0.003877728;0.000318134
2;100;0.16;1.00;1044.75;398.10;20.90;7.96;0.21;0.08;3.21;0.78;7.758223879;0.002311264;-0.006695163;0.000621577
2;100;0.18;1.00;1173.60;503.85;23.47;10.08;0.24;0.10;2.88;0.79;9.750478684;0.003017092;-0.008735781;0.000739423
2;100;0.20;1.00;1294.50;622.04;25.89;12.44;0.26;0.13;2.71;0.79;11.94307863;0.003350099;-0.009668874;0.00070114
2;100;0.22;1.00;1412.20;752.66;28.24;15.05;0.29;0.15;2.59;0.79;14.3246778;0.003993776;-0.009942106;0.000630771
2;100;0.24;1.00;1519.65;895.73;30.39;17.91;0.31;0.18;2.43;0.80;16.88273595;0.003664938;-0.009993409;0.000568966
2;100;0.26;1.00;1667.10;1051.24;33.34;21.02;0.34;0.21;2.27;0.80;19.60351856;0.005383863;-0.009999525;0.000517081
2;100;0.28;1.00;1765.80;1219.19;35.32;24.38;0.36;0.25;2.14;0.80;22.47209675;0.005137737;-0.009999979;0.000472756
2;100;0.30;1.00;1856.50;1399.58;37.13;27.99;0.38;0.28;2.12;0.81;25.4723474;0.005987924;-0.009999999;0.000434392
2;100;0.32;1.00;2014.35;1592.41;40.29;31.85;0.41;0.32;1.97;0.81;28.58695301;0.00848987;-0.01;0.000400855
2;100;0.34;1.00;2109.50;1797.68;42.19;35.95;0.43;0.36;1.89;0.82;31.79740184;0.008228009;-0.01;0.000371285
2;100;0.36;1.00;2165.65;2015.39;43.31;40.31;0.44;0.41;1.87;0.82;35.08398779;0.008703579;-0.01;0.000345018
2;100;0.38;1.00;2324.75;2245.55;46.50;44.91;0.47;0.45;1.76;0.82;38.42581048;0.009750778;-0.01;0.000321528
2;100;0.40;1.00;2423.30;2488.14;48.47;49.76;0.49;0.50;1.70;0.83;41.80077521;0.011984508;-0.01;0.000300397
2;100;0.42;1.00;2514.95;2743.18;50.30;54.86;0.51;0.55;1.67;0.83;45.18559298;0.0122029;-0.01;0.000281285
2;100;0.44;1.00;2597.80;3010.65;51.96;60.21;0.52;0.61;1.62;0.84;48.55578049;0.0122213;-0.009999983;0.000263918
2;100;0.46;1.00;2739.05;3290.57;54.78;65.81;0.55;0.66;1.56;0.84;51.8856601;0.014827567;-0.009999471;0.000248074
2;100;0.48;1.00;2786.10;3582.92;55.72;71.66;0.56;0.72;1.52;0.84;55.14835989;0.014347948;-0.009991052;0.000233712
2;100;0.50;1.00;2875.35;3887.72;57.51;77.75;0.58;0.79;1.52;0.85;58.31581363;0.015142241;-0.009913259;0.00022178
2;110;0.02;0.00;171.40;7.53;3.12;0.14;0.03;0.00;0.07;0.59;0.13691865;0.000275761;0;0
2;110;0.04;0.70;335.75;30.13;6.10;0.55;0.06;0.01;0.48;0.75;0.547017129;0.000510573;-0.000000012;0.000000019
2;110;0.06;0.95;502.95;67.80;9.14;1.23;0.08;0.01;2.87;0.76;1.228323018;0.000814162;-0.000002072;0.000000083
2;110;0.08;1.00;663.10;120.54;12.06;2.19;0.11;0.02;3.54;0.77;2.177548955;0.001079543;-0.00005441;0.000000382
2;110;0.10;1.00;820.80;188.34;14.92;3.42;0.14;0.03;3.89;0.77;3.390092632;0.001431714;-0.000471402;0.000011232
2;110;0.12;1.00;964.65;271.21;17.54;4.93;0.16;0.05;3.62;0.77;4.860036798;0.001579106;-0.001908513;0.000115774
2;110;0.14;1.00;1121.25;369.14;20.39;6.71;0.19;0.06;3.47;0.78;6.580149254;0.001581489;-0.004441846;0.000398749
2;110;0.16;1.00;1299.85;482.15;23.63;8.77;0.22;0.08;3.15;0.78;8.541882857;0.002825203;-0.006951906;0.000641798
2;110;0.18;1.00;1415.95;610.22;25.74;11.09;0.24;0.10;2.94;0.79;10.73537552;0.002642245;-0.008427078;0.000675127
2;110;0.20;1.00;1563.25;753.35;28.42;13.70;0.26;0.13;2.73;0.79;13.14945021;0.002749033;-0.008956298;0.000613917
2;110;0.22;1.00;1718.90;911.56;31.25;16.57;0.29;0.15;2.60;0.79;15.77161495;0.003632407;-0.009073517;0.000549952
2;110;0.24;1.00;1866.35;1084.83;33.93;19.72;0.31;0.18;2.42;0.80;18.58806282;0.004274203;-0.009089514;0.000496671
2;110;0.26;1.00;1993.90;1273.17;36.25;23.15;0.33;0.21;2.29;0.80;21.58367194;0.004668547;-0.009090842;0.00045183
2;110;0.28;1.00;2121.75;1476.57;38.58;26.85;0.35;0.25;2.22;0.80;24.74200552;0.004914058;-0.009090907;0.000413464
2;110;0.30;1.00;2262.30;1695.05;41.13;30.82;0.38;0.28;2.11;0.81;28.04531178;0.006108933;-0.009090909;0.000380249
2;110;0.32;1.00;2427.00;1928.59;44.13;35.07;0.40;0.32;1.97;0.81;31.47452403;0.007463989;-0.009090909;0.00035121
2;110;0.34;1.00;2539.45;2177.19;46.17;39.59;0.42;0.36;1.93;0.81;35.00926061;0.008601616;-0.009090909;0.000325605
2;110;0.36;1.00;2664.65;2440.87;48.45;44.38;0.44;0.41;1.86;0.82;38.62782494;0.008127867;-0.009090909;0.000302858
2;110;0.38;1.00;2792.40;2719.61;50.77;49.45;0.47;0.45;1.79;0.82;42.30720548;0.009508478;-0.009090909;0.000282515
2;110;0.40;1.00;2909.75;3013.42;52.90;54.79;0.49;0.50;1.73;0.83;46.02307574;0.01025697;-0.009090909;0.000264214
2;110;0.42;1.00;3052.95;3322.29;55.51;60.41;0.51;0.55;1.67;0.83;49.7497943;0.01214309;-0.009090909;0.000247661
2;110;0.44;1.00;3181.70;3646.23;57.85;66.30;0.53;0.61;1.61;0.83;53.46040478;0.013381481;-0.009090904;0.000232618
2;110;0.46;1.00;3265.60;3985.24;59.37;72.46;0.54;0.66;1.59;0.84;57.12663586;0.01404881;-0.009090687;0.000218891
2;110;0.48;1.00;3323.80;4339.32;60.43;78.90;0.55;0.72;1.55;0.84;60.71890129;0.012994402;-0.009086024;0.000206391
2;110;0.50;1.00;3559.30;4708.46;64.71;85.61;0.59;0.79;1.48;0.85;64.20629986;0.017960321;-0.009033034;0.000195721
2;120;0.02;0.00;203.00;8.97;3.38;0.15;0.03;0.00;0.11;0.65;0.149479994;0.000222715;0;0
2;120;0.04;0.80;394.15;35.89;6.57;0.60;0.06;0.01;0.73;0.74;0.597202186;0.000411152;-0.000000023;0.000000018
2;120;0.06;1.00;589.45;80.75;9.82;1.35;0.08;0.01;3.08;0.76;1.341013203;0.000596022;-0.000003654;0.000000072
2;120;0.08;1.00;788.05;143.56;13.13;2.39;0.11;0.02;3.97;0.77;2.377324088;0.000914318;-0.000087739;0.000000732
2;120;0.10;1.00;968.25;224.31;16.14;3.74;0.14;0.03;4.16;0.77;3.701110305;0.00126028;-0.000681273;0.000024033
2;120;0.12;1.00;1174.35;323.01;19.57;5.38;0.16;0.05;3.76;0.78;5.305911734;0.001604674;-0.002440179;0.000192334
2;120;0.14;1.00;1346.10;439.65;22.44;7.33;0.19;0.06;3.49;0.78;7.183832671;0.001836486;-0.00502406;0.000500758
2;120;0.16;1.00;1524.15;574.23;25.40;9.57;0.21;0.08;3.23;0.78;9.325541835;0.002047402;-0.007088626;0.000643335
2;120;0.18;1.00;1709.60;726.76;28.49;12.11;0.24;0.10;2.95;0.78;11.72027236;0.002833551;-0.008033858;0.000608084
2;120;0.20;1.00;1875.40;897.24;31.26;14.95;0.26;0.13;2.77;0.79;14.35582179;0.003285757;-0.008288529;0.000541552
2;120;0.22;1.00;2072.95;1085.66;34.55;18.09;0.29;0.15;2.56;0.79;17.2185521;0.00420605;-0.008329266;0.000485199
2;120;0.24;1.00;2211.05;1292.02;36.85;21.53;0.31;0.18;2.43;0.80;20.29338968;0.003760438;-0.008333116;0.000438636
2;120;0.26;1.00;2360.90;1516.33;39.35;25.27;0.33;0.21;2.26;0.80;23.56382533;0.004656514;-0.008333327;0.000399344
2;120;0.28;1.00;2543.85;1758.59;42.40;29.31;0.36;0.25;2.24;0.81;27.01191428;0.005029287;-0.008333333;0.000365708
2;120;0.30;1.00;2668.00;2018.79;44.47;33.65;0.37;0.28;2.12;0.81;30.61827616;0.005545636;-0.008333333;0.000336584
2;120;0.32;1.00;2913.90;2296.93;48.57;38.28;0.41;0.32;2.00;0.81;34.36209504;0.007541338;-0.008333333;0.000311121
2;120;0.34;1.00;3015.90;2593.02;50.27;43.22;0.42;0.36;1.92;0.82;38.22111938;0.006835983;-0.008333333;0.000288667
2;120;0.36;1.00;3197.95;2907.05;53.30;48.45;0.45;0.41;1.84;0.82;42.17166209;0.008931295;-0.008333333;0.000268719
2;120;0.38;1.00;3372.60;3239.03;56.21;53.98;0.47;0.45;1.77;0.82;46.18860047;0.009491016;-0.008333333;0.000250878
2;120;0.40;1.00;3458.35;3588.96;57.64;59.82;0.48;0.50;1.74;0.83;50.24537626;0.009678802;-0.008333333;0.000234827
2;120;0.42;1.00;3581.10;3956.82;59.69;65.95;0.50;0.55;1.68;0.83;54.31399561;0.011178673;-0.008333333;0.000220309
2;120;0.44;1.00;3773.30;4342.64;62.89;72.38;0.53;0.61;1.63;0.83;58.36502907;0.013085254;-0.008333332;0.000207115
2;120;0.46;1.00;3921.30;4746.39;65.36;79.11;0.55;0.66;1.57;0.84;62.36761163;0.014512791;-0.008333239;0.000195073
2;120;0.48;1.00;3999.90;5168.10;66.67;86.13;0.56;0.72;1.56;0.84;66.2894427;0.013685388;-0.008330636;0.000184078
2;120;0.50;1.00;4194.20;5607.74;69.90;93.46;0.59;0.79;1.51;0.85;70.09678608;0.016031691;-0.008294188;0.000174505
2;130;0.02;0.00;234.55;10.54;3.61;0.16;0.03;0.00;0.09;0.66;0.162041338;0.000202942;0;0
2;130;0.04;0.90;460.30;42.15;7.08;0.65;0.05;0.01;1.16;0.75;0.647387244;0.000361837;-0.000000323;0.000000016
2;130;0.06;1.00;697.10;94.83;10.72;1.46;0.08;0.01;3.52;0.76;1.453703388;0.000616311;-0.000022488;0.000000108
2;130;0.08;1.00;929.25;168.59;14.30;2.59;0.11;0.02;4.16;0.77;2.577099222;0.000852823;-0.000300654;0.000005621
2;130;0.10;1.00;1144.75;263.42;17.61;4.05;0.14;0.03;4.19;0.77;4.012127978;0.001071321;-0.001488619;0.000085992
2;130;0.12;1.00;1350.85;379.33;20.78;5.84;0.16;0.05;3.83;0.77;5.751786669;0.001394307;-0.003759701;0.00034865
2;130;0.14;1.00;1599.90;516.31;24.61;7.94;0.19;0.06;3.53;0.78;7.787516089;0.001964405;-0.005996676;0.000583097
2;130;0.16;1.00;1788.55;674.36;27.52;10.37;0.21;0.08;3.34;0.78;10.10920081;0.002217937;-0.007222099;0.000605519
2;130;0.18;1.00;2005.00;853.49;30.85;13.13;0.24;0.10;2.99;0.78;12.70516919;0.002476554;-0.007610938;0.000542738
2;130;0.20;1.00;2210.70;1053.69;34.01;16.21;0.26;0.13;2.80;0.79;15.56219337;0.003225202;-0.007683715;0.000482006
2;130;0.22;1.00;2407.00;1274.97;37.03;19.61;0.29;0.15;2.67;0.79;18.66548925;0.003446595;-0.007691767;0.000432379
2;130;0.24;1.00;2587.90;1517.31;39.81;23.34;0.31;0.18;2.45;0.80;21.99871655;0.003776789;-0.007692288;0.000391175
2;130;0.26;1.00;2813.20;1780.74;43.28;27.40;0.34;0.21;2.33;0.80;25.54397872;0.004243736;-0.007692307;0.000356364
2;130;0.28;1.00;2995.95;2065.23;46.09;31.77;0.36;0.25;2.19;0.80;29.28182304;0.004880492;-0.007692308;0.00032656
2;130;0.30;1.00;3174.80;2370.80;48.84;36.47;0.38;0.28;2.11;0.81;33.19124054;0.005835462;-0.007692308;0.000300752
2;130;0.32;1.00;3369.10;2697.45;51.83;41.50;0.40;0.32;2.00;0.81;37.24966605;0.006751002;-0.007692308;0.000278186
2;130;0.34;1.00;3544.40;3045.16;54.53;46.85;0.42;0.36;1.95;0.82;41.43297815;0.007738922;-0.007692308;0.000258286
2;130;0.36;1.00;3713.40;3413.96;57.13;52.52;0.44;0.41;1.87;0.82;45.71549924;0.007451183;-0.007692308;0.000240606
2;130;0.38;1.00;3901.05;3803.82;60.02;58.52;0.47;0.45;1.79;0.82;50.06999547;0.008979558;-0.007692308;0.000224793
2;130;0.40;1.00;4116.05;4214.76;63.32;64.84;0.49;0.50;1.72;0.83;54.46767679;0.010869685;-0.007692308;0.000210566
2;130;0.42;1.00;4236.50;4646.77;65.18;71.49;0.51;0.55;1.67;0.83;58.87819692;0.0104027;-0.007692308;0.000197699
2;130;0.44;1.00;4406.55;5099.86;67.79;78.46;0.53;0.61;1.64;0.83;63.26965336;0.012088005;-0.007692307;0.000186003
2;130;0.46;1.00;4550.95;5574.02;70.01;85.75;0.54;0.66;1.58;0.84;67.6085874;0.01291471;-0.007692267;0.000175328
2;130;0.48;1.00;4779.55;6069.26;73.53;93.37;0.57;0.72;1.54;0.84;71.8599841;0.014471302;-0.007690804;0.000165567
2;130;0.50;1.00;4887.40;6585.56;75.19;101.32;0.58;0.79;1.51;0.85;75.98727231;0.014656903;-0.007665569;0.000156941
2;140;0.02;0.00;270.20;12.23;3.86;0.17;0.03;0.00;0.12;0.67;0.174602683;0.000178687;0;0
2;140;0.04;1.00;539.65;48.91;7.71;0.70;0.06;0.01;1.37;0.75;0.697572302;0.000362541;-0.000000561;0.000000015
2;140;0.06;1.00;807.40;110.04;11.53;1.57;0.08;0.01;4.11;0.76;1.566393573;0.000563026;-0.000036046;0.000000183
2;140;0.08;1.00;1089.35;195.63;15.56;2.79;0.11;0.02;4.59;0.76;2.776874355;0.0009056;-0.00043353;0.000012676
2;140;0.10;1.00;1309.65;305.68;18.71;4.37;0.13;0.03;4.35;0.77;4.323145651;0.00087746;-0.001899915;0.000150058
2;140;0.12;1.00;1585.75;440.17;22.65;6.29;0.16;0.05;3.86;0.77;6.197661605;0.001524686;-0.004243969;0.000449481
2;140;0.14;1.00;1848.60;599.13;26.41;8.56;0.19;0.06;3.58;0.78;8.391199507;0.001958558;-0.006114163;0.000590667
2;140;0.16;1.00;2056.65;782.53;29.38;11.18;0.21;0.08;3.25;0.78;10.89285979;0.001626432;-0.006918896;0.000552899
2;140;0.18;1.00;2325.15;990.39;33.22;14.15;0.24;0.10;2.98;0.78;13.69006603;0.002518259;-0.007113605;0.000487319
2;140;0.20;1.00;2551.25;1222.71;36.45;17.47;0.26;0.13;2.79;0.79;16.76856495;0.002485637;-0.007140606;0.000432882
2;140;0.22;1.00;2822.85;1479.48;40.33;21.14;0.29;0.15;2.60;0.79;20.11242641;0.003921408;-0.007142757;0.000388585
2;140;0.24;1.00;3067.85;1760.70;43.83;25.15;0.32;0.18;2.43;0.80;23.70404341;0.004147828;-0.007142855;0.000351756
2;140;0.26;1.00;3242.15;2066.38;46.32;29.52;0.33;0.21;2.31;0.80;27.52413211;0.004205914;-0.007142857;0.000320634
2;140;0.28;1.00;3478.75;2396.51;49.70;34.24;0.36;0.25;2.19;0.80;31.55173181;0.005171527;-0.007142857;0.000293985
2;140;0.30;1.00;3637.25;2751.09;51.96;39.30;0.37;0.28;2.12;0.80;35.76420493;0.004847105;-0.007142857;0.000270907
2;140;0.32;1.00;3885.80;3130.13;55.51;44.72;0.40;0.32;2.00;0.81;40.13723706;0.00624655;-0.007142857;0.000250728
2;140;0.34;1.00;4079.10;3533.63;58.27;50.48;0.42;0.36;1.94;0.81;44.64483692;0.007215603;-0.007142857;0.000232932
2;140;0.36;1.00;4284.25;3961.57;61.20;56.59;0.44;0.41;1.86;0.82;49.25933639;0.0077254;-0.007142857;0.000217121
2;140;0.38;1.00;4519.50;4413.98;64.56;63.06;0.46;0.45;1.80;0.83;53.95139047;0.009240252;-0.007142857;0.000202979
2;140;0.40;1.00;4691.80;4890.83;67.03;69.87;0.48;0.50;1.74;0.83;58.68997732;0.010415719;-0.007142857;0.000190256
2;140;0.42;1.00;4932.85;5392.14;70.47;77.03;0.51;0.55;1.67;0.83;63.44239823;0.011566964;-0.007142857;0.000178747
2;140;0.44;1.00;5103.50;5917.91;72.91;84.54;0.52;0.61;1.64;0.84;68.17427765;0.012238774;-0.007142857;0.000168287
2;140;0.46;1.00;5183.90;6468.12;74.06;92.40;0.53;0.66;1.60;0.84;72.84956317;0.011771783;-0.00714284;0.000158739
2;140;0.48;1.00;5453.70;7042.80;77.91;100.61;0.56;0.72;1.55;0.84;77.4305255;0.01285529;-0.007142012;0.00015
2;140;0.50;1.00;5599.60;7641.92;79.99;109.17;0.58;0.79;1.51;0.85;81.87775853;0.014136173;-0.007124448;0.000142194
2;150;0.02;0.20;316.85;14.04;4.22;0.19;0.03;0.00;0.14;0.68;0.187164027;0.000194324;0;0
2;150;0.04;0.95;619.30;56.17;8.26;0.75;0.06;0.01;1.87;0.75;0.74775736;0.000354642;-0.000000755;0.000000014
2;150;0.06;1.00;936.20;126.39;12.48;1.69;0.08;0.01;3.74;0.76;1.679083758;0.000579993;-0.00004627;0.000000264
2;150;0.08;1.00;1228.45;224.69;16.38;3.00;0.11;0.02;4.85;0.77;2.976649489;0.000659997;-0.000522073;0.000018178
2;150;0.10;1.00;1517.00;351.07;20.23;4.68;0.14;0.03;4.38;0.77;4.634163323;0.000924127;-0.002123384;0.000182538
2;150;0.12;1.00;1800.60;505.55;24.01;6.74;0.16;0.05;3.95;0.77;6.64353654;0.00108139;-0.00440087;0.000467908
2;150;0.14;1.00;2085.85;688.10;27.81;9.17;0.19;0.06;3.55;0.78;8.994882925;0.001546058;-0.005973779;0.000554452
2;150;0.16;1.00;2383.50;898.75;31.78;11.98;0.21;0.08;3.28;0.78;11.67651877;0.001911407;-0.006542142;0.000501471
2;150;0.18;1.00;2682.60;1137.48;35.77;15.17;0.24;0.10;2.99;0.78;14.67496287;0.002763288;-0.006653806;0.000440623
2;150;0.20;1.00;2945.60;1404.29;39.27;18.72;0.26;0.13;2.74;0.79;17.97493653;0.002974748;-0.006665918;0.000391654
2;150;0.22;1.00;3215.50;1699.19;42.87;22.66;0.29;0.15;2.64;0.79;21.55936356;0.003200763;-0.006666643;0.000351765
2;150;0.24;1.00;3481.75;2022.18;46.42;26.96;0.31;0.18;2.46;0.80;25.40937027;0.003644943;-0.006666666;0.000318584
2;150;0.26;1.00;3730.40;2373.25;49.74;31.64;0.33;0.21;2.34;0.80;29.5042855;0.003845064;-0.006666667;0.000290542
2;150;0.28;1.00;3975.30;2752.41;53.00;36.70;0.36;0.25;2.24;0.81;33.82164057;0.00441179;-0.006666667;0.000266528
2;150;0.30;1.00;4251.30;3159.66;56.68;42.13;0.38;0.28;2.12;0.81;38.33716931;0.005304869;-0.006666667;0.000245732
2;150;0.32;1.00;4489.20;3594.99;59.86;47.93;0.40;0.32;2.02;0.81;43.02480807;0.007424384;-0.006666667;0.000227547
2;150;0.34;1.00;4675.70;4058.40;62.34;54.11;0.42;0.36;1.94;0.82;47.8566957;0.007112089;-0.006666667;0.000211509
2;150;0.36;1.00;4966.60;4549.91;66.22;60.67;0.44;0.41;1.86;0.82;52.80317354;0.008201906;-0.006666667;0.000197259
2;150;0.38;1.00;5229.60;5069.49;69.73;67.59;0.47;0.45;1.80;0.82;57.83278547;0.009220234;-0.006666667;0.000184513
2;150;0.40;1.00;5394.00;5617.17;71.92;74.90;0.48;0.50;1.75;0.83;62.91227784;0.008691;-0.006666667;0.000173046
2;150;0.42;1.00;5712.70;6192.93;76.17;82.57;0.51;0.55;1.66;0.83;68.00659954;0.011357262;-0.006666667;0.000162673
2;150;0.44;1.00;5860.80;6796.77;78.14;90.62;0.52;0.61;1.64;0.83;73.07890194;0.012198535;-0.006666667;0.000153245
2;150;0.46;1.00;6144.00;7428.70;81.92;99.05;0.55;0.66;1.58;0.84;78.09053893;0.013149496;-0.006666659;0.000144639
2;150;0.48;1.00;6306.65;8088.72;84.09;107.85;0.56;0.72;1.55;0.84;83.00106691;0.013701438;-0.006666188;0.000136757
2;150;0.50;1.00;6458.25;8776.82;86.11;117.02;0.58;0.79;1.51;0.85;87.76824476;0.013872727;-0.006653905;0.000129662
2;160;0.02;0.30;360.40;15.98;4.51;0.20;0.03;0.00;0.21;0.71;0.199725371;0.000160775;0;0
2;160;0.04;1.00;718.40;63.94;8.98;0.80;0.06;0.01;2.04;0.75;0.797942417;0.000373701;-0.000000916;0.000000014
2;160;0.06;0.95;1064.20;143.86;13.30;1.80;0.08;0.01;4.92;0.76;1.791773943;0.000547989;-0.000054176;0.000000336
2;160;0.08;1.00;1409.20;255.75;17.62;3.20;0.11;0.02;4.80;0.76;3.176424622;0.000716874;-0.000582767;0.000021662
2;160;0.10;1.00;1717.95;399.61;21.47;5.00;0.14;0.03;4.45;0.77;4.945180996;0.000931016;-0.002243156;0.000193126
2;160;0.12;1.00;2077.95;575.44;25.97;7.19;0.16;0.05;3.94;0.77;7.089411476;0.001396284;-0.004406359;0.000452189
2;160;0.14;1.00;2423.30;783.24;30.29;9.79;0.19;0.06;3.60;0.78;9.598566342;0.001693071;-0.005746987;0.000510599
2;160;0.16;1.00;2693.60;1023.00;33.67;12.79;0.21;0.08;3.28;0.78;12.46017775;0.00169386;-0.006171883;0.00045641
2;160;0.18;1.00;3037.65;1294.74;37.97;16.18;0.24;0.10;2.99;0.78;15.6598597;0.002336658;-0.006243254;0.000400988
2;160;0.20;1.00;3343.00;1598.44;41.79;19.98;0.26;0.13;2.77;0.79;19.18130811;0.002662518;-0.006249683;0.000356625
2;160;0.22;1.00;3623.70;1934.12;45.30;24.18;0.28;0.15;2.64;0.79;23.00630071;0.002725227;-0.006249992;0.00032045
2;160;0.24;1.00;3899.45;2301.76;48.74;28.77;0.31;0.18;2.49;0.79;27.11469714;0.003163776;-0.00625;0.000290352
2;160;0.26;1.00;4269.35;2701.37;53.37;33.77;0.34;0.21;2.30;0.80;31.48443889;0.004893561;-0.00625;0.000264913
2;160;0.28;1.00;4571.25;3132.95;57.14;39.16;0.36;0.25;2.21;0.80;36.09154933;0.005151904;-0.00625;0.000243127
2;160;0.30;1.00;4873.05;3596.50;60.91;44.96;0.38;0.28;2.11;0.81;40.91013369;0.005729883;-0.00625;0.00022426
2;160;0.32;1.00;5083.15;4092.01;63.54;51.15;0.40;0.32;2.03;0.81;45.91237908;0.006669189;-0.00625;0.00020776
2;160;0.34;1.00;5322.85;4619.50;66.54;57.74;0.42;0.36;1.94;0.82;51.06855447;0.006326662;-0.00625;0.000193208
2;160;0.36;1.00;5611.45;5178.95;70.14;64.74;0.44;0.41;1.86;0.82;56.34701069;0.0080713;-0.00625;0.000180279
2;160;0.38;1.00;5979.90;5770.38;74.75;72.13;0.47;0.45;1.78;0.82;61.71418047;0.00996115;-0.00625;0.000168714
2;160;0.40;1.00;6236.05;6393.77;77.95;79.92;0.49;0.50;1.72;0.83;67.13457837;0.010719982;-0.00625;0.000158308
2;160;0.42;1.00;6415.80;7049.13;80.20;88.11;0.50;0.55;1.69;0.83;72.57080085;0.010858304;-0.00625;0.000148896
2;160;0.44;1.00;6646.20;7736.46;83.08;96.71;0.52;0.61;1.63;0.83;77.98352624;0.010811815;-0.00625;0.000140341
2;160;0.46;1.00;6900.60;8455.76;86.26;105.70;0.54;0.66;1.59;0.84;83.3315147;0.012436378;-0.006250131;0.000132529
2;160;0.48;1.00;7235.85;9207.03;90.45;115.09;0.57;0.72;1.54;0.84;88.57160831;0.014757599;-0.006264734;0.000125195
2;160;0.50;1.00;7311.15;9990.26;91.39;124.88;0.57;0.79;1.52;0.85;93.65873099;0.014578953;-0.006488266;0.000117373
