Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;Degree variance;Normalized degree variance;Average difference of vertex probability;Vertex probability difference variance
2;20;0.44;1.00;99.95;115.56;10.00;11.56;0.53;0.61;1.43;0.83;9.318786154;0.019004155;0.000749707;0.000841955
2;20;0.46;1.00;102.05;126.30;10.21;12.63;0.54;0.66;1.39;0.83;9.957853958;0.021018006;0.00167313;0.001111652
2;20;0.48;1.00;108.75;137.53;10.88;13.75;0.57;0.72;1.36;0.84;10.58402867;0.021862881;0.003342126;0.001483683
2;20;0.50;1.00;104.00;149.23;10.40;14.92;0.55;0.79;1.36;0.85;11.19192383;0.019168975;0.006025453;0.002024617
2;30;0.02;0.00;12.25;0.55;0.82;0.04;0.03;0.00;0.03;0.13;0.036427898;0.000999075;0;0
2;30;0.04;0.00;23.75;2.19;1.58;0.15;0.05;0.01;0.08;0.40;0.145536667;0.001989431;0;0.000000017
2;30;0.06;0.15;37.15;4.92;2.48;0.33;0.09;0.01;0.17;0.53;0.326801537;0.002179152;0;0.000000243
2;30;0.08;0.40;46.95;8.75;3.13;0.58;0.11;0.02;0.28;0.64;0.579347887;0.003071476;0;0.000001137
2;30;0.10;0.45;57.50;13.67;3.83;0.91;0.13;0.03;0.48;0.71;0.901951251;0.003667856;0;0.000002788
2;30;0.12;0.80;68.05;19.68;4.54;1.31;0.16;0.05;0.89;0.72;1.293037313;0.004108865;0;0.000004764
2;30;0.14;1.00;80.65;26.79;5.38;1.79;0.19;0.06;1.05;0.75;1.750681912;0.005203329;0;0.000006975
2;30;0.16;0.95;91.45;34.98;6.10;2.33;0.21;0.08;1.38;0.76;2.272611035;0.005535474;0;0.000009812
2;30;0.18;1.00;101.75;44.28;6.78;2.95;0.23;0.10;1.47;0.76;2.856200826;0.007792311;0;0.000013662
2;30;0.20;0.95;115.85;54.66;7.72;3.64;0.27;0.13;1.75;0.78;3.498477579;0.00707861;0;0.000018781
2;30;0.22;1.00;129.65;66.14;8.64;4.41;0.30;0.15;1.75;0.77;4.196117739;0.010662703;0;0.000025429
2;30;0.24;1.00;138.70;78.72;9.25;5.25;0.32;0.18;1.68;0.79;4.945447906;0.008908707;0;0.000033938
2;30;0.26;1.00;147.60;92.38;9.84;6.16;0.34;0.21;1.82;0.79;5.742444829;0.009662571;0;0.000044744
2;30;0.28;1.00;157.75;107.14;10.52;7.14;0.36;0.25;1.79;0.81;6.582735413;0.012370458;0;0.000058409
2;30;0.30;1.00;171.00;122.99;11.40;8.20;0.39;0.28;1.75;0.79;7.461596712;0.013519091;0;0.00007567
2;30;0.32;1.00;178.70;139.94;11.91;9.33;0.41;0.32;1.72;0.82;8.373955933;0.012717664;0.000000002;0.0000975
2;30;0.34;1.00;186.15;157.98;12.41;10.53;0.43;0.36;1.77;0.82;9.314390437;0.013894306;0.000000024;0.000125214
2;30;0.36;1.00;197.10;177.11;13.14;11.81;0.45;0.41;1.65;0.81;10.27712774;0.013878716;0.000000219;0.000160626
2;30;0.38;1.00;206.90;197.34;13.79;13.16;0.48;0.45;1.67;0.82;11.25604549;0.015074382;0.000001558;0.000206305
2;30;0.40;1.00;213.15;218.65;14.21;14.58;0.49;0.50;1.64;0.83;12.24467153;0.017120095;0.000008814;0.000266001
2;30;0.42;1.00;220.85;241.07;14.72;16.07;0.51;0.55;1.59;0.83;13.2361838;0.017648831;0.000040287;0.000345388
2;30;0.44;1.00;226.05;264.57;15.07;17.64;0.52;0.61;1.57;0.84;14.22341045;0.015623464;0.000151097;0.000453341
2;30;0.46;1.00;227.15;289.17;15.14;19.28;0.52;0.66;1.59;0.84;15.19882973;0.017685295;0.000471636;0.000603855
2;30;0.48;1.00;258.70;314.86;17.25;20.99;0.59;0.72;1.44;0.85;16.15457007;0.02389959;0.001241533;0.000818451
2;30;0.50;1.00;250.30;341.65;16.69;22.78;0.58;0.79;1.42;0.85;17.08241005;0.018134232;0.002791255;0.001133488
2;40;0.02;0.00;22.85;0.98;1.14;0.05;0.03;0.00;0.04;0.24;0.048989242;0.000707676;0;0
2;40;0.04;0.00;43.90;3.92;2.20;0.20;0.06;0.01;0.11;0.48;0.195721725;0.0014405;0;0.000000019
2;40;0.06;0.05;66.10;8.82;3.31;0.44;0.08;0.01;0.23;0.63;0.439491722;0.001761177;0;0.000000233
2;40;0.08;0.70;86.15;15.68;4.31;0.78;0.11;0.02;0.39;0.72;0.779123021;0.002819116;0;0.000000875
2;40;0.10;0.90;110.95;24.50;5.55;1.23;0.14;0.03;0.93;0.74;1.212968924;0.003459648;0;0.000001786
