Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;
2;10;0.420000000;0.880000000;22.800000000;24.937962484;4.560000000;4.987592497;0.506666667;0.554176944;1.030222222;8.112000000;
2;10;0.430000000;0.960000000;21.480000000;26.139621674;4.296000000;5.227924335;0.477333333;0.580880482;0.994666667;6.528000000;
2;10;0.440000000;1.000000000;21.160000000;27.369555198;4.232000000;5.473911040;0.470222222;0.608212338;1.128888889;6.312000000;
2;10;0.450000000;1.000000000;24.280000000;28.627763056;4.856000000;5.725552611;0.539555556;0.636172512;1.184000000;8.628000000;
2;10;0.460000000;0.840000000;23.640000000;29.914245247;4.728000000;5.982849049;0.525333333;0.664761005;1.062222222;8.112000000;
2;10;0.470000000;0.960000000;24.400000000;31.229001773;4.880000000;6.245800355;0.542222222;0.693977817;1.018666667;9.084000000;
2;10;0.480000000;1.000000000;25.880000000;32.572032632;5.176000000;6.514406526;0.575111111;0.723822947;1.154666667;9.984000000;
2;10;0.490000000;0.960000000;24.360000000;33.943337826;4.872000000;6.788667565;0.541333333;0.754296396;1.164444444;8.520000000;
2;20;0.010000000;0.000000000;2.520000000;0.059690260;0.252000000;0.005969026;0.013263158;0.000314159;0.014105263;0.018000000;
2;20;0.020000000;0.000000000;5.240000000;0.238761042;0.524000000;0.023876104;0.027578947;0.001256637;0.029263158;0.090000000;
2;20;0.030000000;0.000000000;9.000000000;0.537212344;0.900000000;0.053721234;0.047368421;0.002827433;0.057263158;0.432000000;
2;20;0.040000000;0.000000000;9.400000000;0.955044167;0.940000000;0.095504417;0.049473684;0.005026548;0.063157895;0.264000000;
2;20;0.050000000;0.000000000;14.440000000;1.492256510;1.444000000;0.149225651;0.076000000;0.007853982;0.116210526;0.792000000;
2;20;0.060000000;0.040000000;15.200000000;2.148849375;1.520000000;0.214884938;0.080000000;0.011309734;0.113052632;0.732000000;
2;20;0.070000000;0.040000000;19.840000000;2.924822760;1.984000000;0.292482276;0.104421053;0.015393804;0.179789474;1.416000000;
2;20;0.080000000;0.080000000;21.600000000;3.820176667;2.160000000;0.382017667;0.113684211;0.020106193;0.181052632;1.806000000;
2;20;0.090000000;0.120000000;23.440000000;4.834911094;2.344000000;0.483491109;0.123368421;0.025446900;0.263368421;1.926000000;
2;20;0.100000000;0.280000000;26.280000000;5.969026042;2.628000000;0.596902604;0.138315789;0.031415927;0.238526316;2.676000000;
2;20;0.110000000;0.160000000;26.760000000;7.222521511;2.676000000;0.722252151;0.140842105;0.038013271;0.332210526;2.520000000;
2;20;0.120000000;0.360000000;31.280000000;8.595397500;3.128000000;0.859539750;0.164631579;0.045238934;0.392421053;3.660000000;
2;20;0.130000000;0.720000000;33.000000000;10.087654011;3.300000000;1.008765401;0.173684211;0.053092916;0.385894737;3.894000000;
2;20;0.140000000;0.760000000;35.160000000;11.699291042;3.516000000;1.169929104;0.185052632;0.061575216;0.635578947;4.404000000;
2;20;0.150000000;0.600000000;40.320000000;13.430308594;4.032000000;1.343030859;0.212210526;0.070685835;0.540421053;6.402000000;
2;20;0.160000000;0.720000000;39.680000000;15.280706667;3.968000000;1.528070667;0.208842105;0.080424772;0.796631579;5.556000000;
2;20;0.170000000;0.840000000;42.920000000;17.250485261;4.292000000;1.725048526;0.225894737;0.090792028;0.855368421;6.816000000;
2;20;0.180000000;0.720000000;46.600000000;19.339644375;4.660000000;1.933964438;0.245263158;0.101787602;0.936842105;8.046000000;
2;20;0.190000000;0.840000000;48.320000000;21.548184011;4.832000000;2.154818401;0.254315789;0.113411495;0.986947368;8.580000000;
2;20;0.200000000;0.840000000;48.800000000;23.876104167;4.880000000;2.387610417;0.256842105;0.125663706;0.896631579;8.994000000;
2;20;0.210000000;0.960000000;52.840000000;26.323404844;5.284000000;2.632340484;0.278105263;0.138544236;1.171789474;10.194000000;
2;20;0.220000000;0.920000000;54.480000000;28.890086042;5.448000000;2.889008604;0.286736842;0.152053084;1.291157895;11.070000000;
2;20;0.230000000;1.000000000;58.920000000;31.576147761;5.892000000;3.157614776;0.310105263;0.166190251;1.070526316;12.942000000;
2;20;0.240000000;0.960000000;60.240000000;34.381590001;6.024000000;3.438159000;0.317052632;0.180955737;1.343157895;13.482000000;
2;20;0.250000000;0.920000000;62.480000000;37.306412761;6.248000000;3.730641276;0.328842105;0.196349541;1.369684211;14.772000000;
2;20;0.260000000;0.960000000;67.480000000;40.350616043;6.748000000;4.035061604;0.355157895;0.212371663;1.410736842;17.676000000;
2;20;0.270000000;0.960000000;70.320000000;43.514199845;7.032000000;4.351419984;0.370105263;0.229022104;1.206315789;20.064000000;
2;20;0.280000000;0.960000000;65.800000000;46.797164168;6.580000000;4.679716417;0.346315789;0.246300864;1.494947368;15.600000000;
2;20;0.290000000;1.000000000;71.640000000;50.199509012;7.164000000;5.019950901;0.377052632;0.264207942;1.518736842;20.178000000;
2;20;0.300000000;1.000000000;72.240000000;53.721234376;7.224000000;5.372123438;0.380210526;0.282743339;1.571789474;19.956000000;
2;20;0.310000000;1.000000000;72.840000000;57.362340262;7.284000000;5.736234026;0.383368421;0.301907054;1.605894737;20.088000000;
2;20;0.320000000;1.000000000;73.960000000;61.122826668;7.396000000;6.112282667;0.389263158;0.321699088;1.602947368;20.574000000;
2;20;0.330000000;1.000000000;79.280000000;65.002693595;7.928000000;6.500269360;0.417263158;0.342119440;1.561263158;23.832000000;
2;20;0.340000000;1.000000000;81.240000000;69.001941043;8.124000000;6.900194104;0.427578947;0.363168111;1.450315789;25.812000000;
2;20;0.350000000;1.000000000;79.800000000;73.120569012;7.980000000;7.312056901;0.420000000;0.384845100;1.458526316;24.366000000;
2;20;0.360000000;1.000000000;84.280000000;77.358577502;8.428000000;7.735857750;0.443578947;0.407150408;1.475578947;27.726000000;
2;20;0.370000000;0.960000000;84.400000000;81.715966513;8.440000000;8.171596651;0.444210526;0.430084034;1.522105263;26.898000000;
2;20;0.380000000;1.000000000;87.800000000;86.192736044;8.780000000;8.619273604;0.462105263;0.453645979;1.537894737;28.896000000;
2;20;0.390000000;1.000000000;92.800000000;90.788886096;9.280000000;9.078888610;0.488421053;0.477836243;1.470736842;33.222000000;
2;20;0.400000000;1.000000000;92.200000000;95.504416669;9.220000000;9.550441667;0.485263158;0.502654825;1.565052632;33.186000000;
2;20;0.410000000;1.000000000;95.360000000;100.339327763;9.536000000;10.033932776;0.501894737;0.528101725;1.365894737;36.132000000;
2;20;0.420000000;1.000000000;95.480000000;105.293619378;9.548000000;10.529361938;0.502526316;0.554176944;1.433894737;36.108000000;
2;20;0.430000000;1.000000000;95.360000000;110.367291513;9.536000000;11.036729151;0.501894737;0.580880482;1.494105263;34.884000000;
2;20;0.440000000;1.000000000;98.080000000;115.560344170;9.808000000;11.556034417;0.516210526;0.608212338;1.532000000;37.482000000;
2;20;0.450000000;1.000000000;103.640000000;120.872777347;10.364000000;12.087277735;0.545473684;0.636172512;1.456000000;43.158000000;
2;20;0.460000000;1.000000000;101.920000000;126.304591045;10.192000000;12.630459104;0.536421053;0.664761005;1.464421053;40.584000000;
2;20;0.470000000;1.000000000;102.920000000;131.855785264;10.292000000;13.185578526;0.541684211;0.693977817;1.490736842;42.156000000;
2;20;0.480000000;1.000000000;105.320000000;137.526360004;10.532000000;13.752636000;0.554315789;0.723822947;1.451157895;43.962000000;
2;20;0.490000000;1.000000000;109.160000000;143.316315264;10.916000000;14.331631526;0.574526316;0.754296396;1.425052632;48.420000000;
2;30;0.010000000;0.000000000;6.720000000;0.136659280;0.448000000;0.009110619;0.015448276;0.000314159;0.016919540;0.052000000;
2;30;0.020000000;0.000000000;11.680000000;0.546637122;0.778666667;0.036442475;0.026850575;0.001256637;0.030988506;0.180000000;
2;30;0.030000000;0.000000000;17.680000000;1.229933524;1.178666667;0.081995568;0.040643678;0.002827433;0.058942529;0.444000000;
2;30;0.040000000;0.000000000;24.200000000;2.186548487;1.613333333;0.145769899;0.055632184;0.005026548;0.094988506;0.936000000;
2;30;0.050000000;0.040000000;29.600000000;3.416482011;1.973333333;0.227765467;0.068045977;0.007853982;0.120919540;1.284000000;
2;30;0.060000000;0.040000000;37.480000000;4.919734096;2.498666667;0.327982273;0.086160920;0.011309734;0.168000000;2.404000000;
2;30;0.070000000;0.040000000;41.840000000;6.696304741;2.789333333;0.446420316;0.096183908;0.015393804;0.211126437;3.068000000;
2;30;0.080000000;0.200000000;48.160000000;8.746193948;3.210666667;0.583079597;0.110712644;0.020106193;0.300413793;3.664000000;
2;30;0.090000000;0.640000000;52.720000000;11.069401715;3.514666667;0.737960114;0.121195402;0.025446900;0.323402299;4.516000000;
2;30;0.100000000;0.480000000;57.600000000;13.665928043;3.840000000;0.911061870;0.132413793;0.031415927;0.417195402;5.560000000;
2;30;0.110000000;0.680000000;64.920000000;16.535772932;4.328000000;1.102384862;0.149241379;0.038013271;0.491678161;7.216000000;
2;30;0.120000000;0.840000000;70.720000000;19.678936382;4.714666667;1.311929092;0.162574713;0.045238934;0.819402299;7.832000000;
2;30;0.130000000;1.000000000;77.760000000;23.095418393;5.184000000;1.539694560;0.178758621;0.053092916;1.100505747;10.144000000;
2;30;0.140000000;0.880000000;82.040000000;26.785218965;5.469333333;1.785681264;0.188597701;0.061575216;1.158528736;10.848000000;
2;30;0.150000000;0.880000000;88.320000000;30.748338097;5.888000000;2.049889206;0.203034483;0.070685835;1.358436782;12.872000000;
2;30;0.160000000;1.000000000;91.120000000;34.984775790;6.074666667;2.332318386;0.209471264;0.080424772;1.292689655;13.160000000;
2;30;0.170000000;0.960000000;97.320000000;39.494532045;6.488000000;2.632968803;0.223724138;0.090792028;1.536183908;15.856000000;
2;30;0.180000000;0.920000000;104.160000000;44.277606860;6.944000000;2.951840457;0.239448276;0.101787602;1.496551724;18.112000000;
2;30;0.190000000;0.960000000;110.120000000;49.334000236;7.341333333;3.288933349;0.253149425;0.113411495;1.517793103;20.616000000;
2;30;0.200000000;1.000000000;116.400000000;54.663712172;7.760000000;3.644247478;0.267586207;0.125663706;1.806896552;23.248000000;
2;30;0.210000000;0.960000000;119.560000000;60.266742670;7.970666667;4.017782845;0.274850575;0.138544236;1.661609195;24.368000000;
2;30;0.220000000;1.000000000;126.160000000;66.143091729;8.410666667;4.409539449;0.290022989;0.152053084;1.750896552;27.232000000;
2;30;0.230000000;1.000000000;133.720000000;72.292759348;8.914666667;4.819517290;0.307402299;0.166190251;1.864919540;30.700000000;
2;30;0.240000000;1.000000000;134.000000000;78.715745528;8.933333333;5.247716369;0.308045977;0.180955737;1.779126437;30.148000000;
2;30;0.250000000;1.000000000;138.360000000;85.412050269;9.224000000;5.694136685;0.318068966;0.196349541;1.898574713;32.624000000;
2;30;0.260000000;1.000000000;145.200000000;92.381673571;9.680000000;6.158778238;0.333793103;0.212371663;1.794850575;35.300000000;
2;30;0.270000000;1.000000000;150.760000000;99.624615434;10.050666667;6.641641029;0.346574713;0.229022104;1.797333333;38.596000000;
2;30;0.280000000;1.000000000;152.160000000;107.140875858;10.144000000;7.142725057;0.349793103;0.246300864;1.880551724;39.328000000;
2;30;0.290000000;1.000000000;159.440000000;114.930454843;10.629333333;7.662030323;0.366528736;0.264207942;1.781425287;43.160000000;
2;30;0.300000000;1.000000000;164.400000000;122.993352388;10.960000000;8.199556826;0.377931034;0.282743339;1.901241379;46.808000000;
2;30;0.310000000;1.000000000;169.760000000;131.329568494;11.317333333;8.755304566;0.390252874;0.301907054;1.682482759;49.424000000;
2;30;0.320000000;1.000000000;174.040000000;139.939103162;11.602666667;9.329273544;0.400091954;0.321699088;1.811126437;53.216000000;
2;30;0.330000000;1.000000000;174.320000000;148.821956390;11.621333333;9.921463759;0.400735632;0.342119440;1.921195402;52.068000000;
2;30;0.340000000;1.000000000;179.800000000;157.978128178;11.986666667;10.531875212;0.413333333;0.363168111;1.805425287;56.336000000;
2;30;0.350000000;1.000000000;192.200000000;167.407618528;12.813333333;11.160507902;0.441839080;0.384845100;1.676689655;65.468000000;
2;30;0.360000000;1.000000000;192.320000000;177.110427439;12.821333333;11.807361829;0.442114943;0.407150408;1.689287356;65.652000000;
2;30;0.370000000;1.000000000;197.440000000;187.086554910;13.162666667;12.472436994;0.453885057;0.430084034;1.670712644;68.236000000;
2;30;0.380000000;1.000000000;200.480000000;197.336000943;13.365333333;13.155733396;0.460873563;0.453645979;1.648551724;69.060000000;
2;30;0.390000000;1.000000000;205.120000000;207.858765536;13.674666667;13.857251036;0.471540230;0.477836243;1.646068966;73.812000000;
2;30;0.400000000;1.000000000;213.200000000;218.654848690;14.213333333;14.576989913;0.490114943;0.502654825;1.599448276;81.332000000;
2;30;0.410000000;1.000000000;215.720000000;229.724250405;14.381333333;15.314950027;0.495908046;0.528101725;1.546666667;81.304000000;
2;30;0.420000000;1.000000000;220.240000000;241.066970681;14.682666667;16.071131379;0.506298851;0.554176944;1.590712644;85.752000000;
2;30;0.430000000;1.000000000;216.640000000;252.683009517;14.442666667;16.845533968;0.498022989;0.580880482;1.592459770;81.588000000;
2;30;0.440000000;1.000000000;231.560000000;264.572366915;15.437333333;17.638157794;0.532321839;0.608212338;1.500413793;96.664000000;
2;30;0.450000000;1.000000000;234.600000000;276.735042873;15.640000000;18.449002858;0.539310345;0.636172512;1.540413793;98.092000000;
2;30;0.460000000;1.000000000;238.080000000;289.171037392;15.872000000;19.278069159;0.547310345;0.664761005;1.502436782;102.712000000;
2;30;0.470000000;1.000000000;244.880000000;301.880350472;16.325333333;20.125356698;0.562942529;0.693977817;1.513563218;108.296000000;
2;30;0.480000000;1.000000000;249.680000000;314.862982113;16.645333333;20.990865474;0.573977011;0.723822947;1.466298851;111.292000000;
2;30;0.490000000;1.000000000;248.080000000;328.118932315;16.538666667;21.874595488;0.570298851;0.754296396;1.462160920;111.212000000;
2;40;0.010000000;0.000000000;9.440000000;0.245044227;0.472000000;0.012252211;0.012102564;0.000314159;0.014410256;0.072000000;
2;40;0.020000000;0.000000000;22.440000000;0.980176908;1.122000000;0.049008845;0.028769231;0.001256637;0.036153846;0.489000000;
2;40;0.030000000;0.000000000;32.600000000;2.205398043;1.630000000;0.110269902;0.041794872;0.002827433;0.069641026;0.933000000;
2;40;0.040000000;0.040000000;43.760000000;3.920707632;2.188000000;0.196035382;0.056102564;0.005026548;0.099025641;1.800000000;
2;40;0.050000000;0.040000000;55.000000000;6.126105675;2.750000000;0.306305284;0.070512821;0.007853982;0.168923077;2.874000000;
2;40;0.060000000;0.240000000;63.200000000;8.821592171;3.160000000;0.441079609;0.081025641;0.011309734;0.237487179;3.612000000;
2;40;0.070000000;0.280000000;73.920000000;12.007167122;3.696000000;0.600358356;0.094769231;0.015393804;0.359538462;5.163000000;
2;40;0.080000000;0.600000000;85.640000000;15.682830527;4.282000000;0.784141526;0.109794872;0.020106193;0.529794872;6.528000000;
2;40;0.090000000;0.640000000;95.520000000;19.848582385;4.776000000;0.992429119;0.122461538;0.025446900;0.621589744;8.532000000;
2;40;0.100000000;0.880000000;106.280000000;24.504422698;5.314000000;1.225221135;0.136256410;0.031415927;0.915846154;10.398000000;
2;40;0.110000000;0.800000000;117.040000000;29.650351465;5.852000000;1.482517573;0.150051282;0.038013271;1.431948718;12.669000000;
2;40;0.120000000;0.840000000;128.440000000;35.286368685;6.422000000;1.764318434;0.164666667;0.045238934;1.023333333;15.804000000;
2;40;0.130000000;0.920000000;135.440000000;41.412474360;6.772000000;2.070623718;0.173641026;0.053092916;1.602871795;17.211000000;
2;40;0.140000000;1.000000000;142.080000000;48.028668488;7.104000000;2.401433424;0.182153846;0.061575216;1.715487179;18.867000000;
2;40;0.150000000;0.960000000;154.560000000;55.134951071;7.728000000;2.756747554;0.198153846;0.070685835;1.870871795;23.010000000;
2;40;0.160000000;0.960000000;172.640000000;62.731322107;8.632000000;3.136566105;0.221333333;0.080424772;1.722564103;28.392000000;
2;40;0.170000000;0.960000000;175.640000000;70.817781597;8.782000000;3.540889080;0.225179487;0.090792028;1.988820513;29.115000000;
2;40;0.180000000;1.000000000;180.520000000;79.394329542;9.026000000;3.969716477;0.231435897;0.101787602;2.066256410;30.474000000;
2;40;0.190000000;1.000000000;193.480000000;88.460965940;9.674000000;4.423048297;0.248051282;0.113411495;2.337282051;35.400000000;
2;40;0.200000000;1.000000000;204.880000000;98.017690792;10.244000000;4.900884540;0.262666667;0.125663706;2.296307692;39.636000000;
2;40;0.210000000;1.000000000;213.480000000;108.064504098;10.674000000;5.403225205;0.273692308;0.138544236;2.174256410;42.990000000;
2;40;0.220000000;1.000000000;222.520000000;118.601405858;11.126000000;5.930070293;0.285282051;0.152053084;2.169743590;47.202000000;
2;40;0.230000000;1.000000000;232.920000000;129.628396072;11.646000000;6.481419804;0.298615385;0.166190251;2.105025641;52.572000000;
2;40;0.240000000;1.000000000;239.200000000;141.145474740;11.960000000;7.057273737;0.306666667;0.180955737;2.128051282;54.507000000;
2;40;0.250000000;1.000000000;246.720000000;153.152641863;12.336000000;7.657632093;0.316307692;0.196349541;1.950769231;58.155000000;
2;40;0.260000000;1.000000000;260.720000000;165.649897438;13.036000000;8.282494872;0.334256410;0.212371663;2.119794872;66.426000000;
2;40;0.270000000;1.000000000;272.680000000;178.637241468;13.634000000;8.931862073;0.349589744;0.229022104;1.984102564;72.963000000;
2;40;0.280000000;1.000000000;283.000000000;192.114673952;14.150000000;9.605733698;0.362820513;0.246300864;1.886923077;77.748000000;
2;40;0.290000000;1.000000000;280.800000000;206.082194890;14.040000000;10.304109745;0.360000000;0.264207942;1.976358974;75.954000000;
2;40;0.300000000;1.000000000;299.240000000;220.539804282;14.962000000;11.026990214;0.383641026;0.282743339;1.893487179;87.843000000;
2;40;0.310000000;1.000000000;306.640000000;235.487502128;15.332000000;11.774375106;0.393128205;0.301907054;1.940769231;93.957000000;
2;40;0.320000000;1.000000000;316.360000000;250.925288428;15.818000000;12.546264421;0.405589744;0.321699088;1.913589744;97.767000000;
2;40;0.330000000;1.000000000;323.480000000;266.853163181;16.174000000;13.342658159;0.414717949;0.342119440;1.885641026;104.523000000;
2;40;0.340000000;1.000000000;330.880000000;283.271126389;16.544000000;14.163556319;0.424205128;0.363168111;1.839128205;107.553000000;
2;40;0.350000000;1.000000000;342.480000000;300.179178051;17.124000000;15.008958903;0.439076923;0.384845100;1.786564103;115.290000000;
2;40;0.360000000;1.000000000;348.560000000;317.577318166;17.428000000;15.878865908;0.446871795;0.407150408;1.759743590;121.089000000;
2;40;0.370000000;1.000000000;353.920000000;335.465546736;17.696000000;16.773277337;0.453743590;0.430084034;1.726923077;123.633000000;
2;40;0.380000000;1.000000000;356.160000000;353.843863759;17.808000000;17.692193188;0.456615385;0.453645979;1.758205128;124.449000000;
2;40;0.390000000;1.000000000;369.320000000;372.712269237;18.466000000;18.635613462;0.473487179;0.477836243;1.692307692;135.684000000;
2;40;0.400000000;1.000000000;389.240000000;392.070763168;19.462000000;19.603538158;0.499025641;0.502654825;1.636769231;152.916000000;
2;40;0.410000000;1.000000000;375.360000000;411.919345553;18.768000000;20.595967278;0.481230769;0.528101725;1.704820513;141.309000000;
2;40;0.420000000;1.000000000;394.960000000;432.258016393;19.748000000;21.612900820;0.506358974;0.554176944;1.615948718;159.669000000;
2;40;0.430000000;1.000000000;409.720000000;453.086775686;20.486000000;22.654338784;0.525282051;0.580880482;1.569641026;172.779000000;
2;40;0.440000000;1.000000000;401.800000000;474.405623433;20.090000000;23.720281172;0.515128205;0.608212338;1.612923077;163.350000000;
2;40;0.450000000;1.000000000;416.320000000;496.214559635;20.816000000;24.810727982;0.533743590;0.636172512;1.554871795;176.457000000;
2;40;0.460000000;1.000000000;422.080000000;518.513584290;21.104000000;25.925679214;0.541128205;0.664761005;1.564153846;180.696000000;
2;40;0.470000000;1.000000000;425.480000000;541.302697399;21.274000000;27.065134870;0.545487179;0.693977817;1.535589744;182.541000000;
2;40;0.480000000;1.000000000;446.640000000;564.581898962;22.332000000;28.229094948;0.572615385;0.723822947;1.476820513;205.077000000;
2;40;0.490000000;1.000000000;450.040000000;588.351188979;22.502000000;29.417559449;0.576974359;0.754296396;1.483846154;207.456000000;
2;50;0.010000000;0.000000000;17.680000000;0.384845100;0.707200000;0.015393804;0.014432653;0.000314159;0.016326531;0.177600000;
2;50;0.020000000;0.000000000;34.400000000;1.539380400;1.376000000;0.061575216;0.028081633;0.001256637;0.040522449;0.686400000;
2;50;0.030000000;0.000000000;49.880000000;3.463605901;1.995200000;0.138544236;0.040718367;0.002827433;0.069191837;1.492800000;
2;50;0.040000000;0.080000000;67.040000000;6.157521601;2.681600000;0.246300864;0.054726531;0.005026548;0.129828571;2.652000000;
2;50;0.050000000;0.120000000;83.840000000;9.621127502;3.353600000;0.384845100;0.068440816;0.007853982;0.222530612;4.180800000;
2;50;0.060000000;0.480000000;102.000000000;13.854423602;4.080000000;0.554176944;0.083265306;0.011309734;0.410024490;6.052800000;
2;50;0.070000000;0.560000000;120.640000000;18.857409903;4.825600000;0.754296396;0.098481633;0.015393804;0.424195918;8.884800000;
2;50;0.080000000;0.800000000;135.480000000;24.630086404;5.419200000;0.985203456;0.110595918;0.020106193;0.772212245;11.287200000;
2;50;0.090000000;0.760000000;150.760000000;31.172453105;6.030400000;1.246898124;0.123069388;0.025446900;0.886987755;13.833600000;
2;50;0.100000000;0.880000000;166.280000000;38.484510006;6.651200000;1.539380400;0.135738776;0.031415927;1.404865306;16.677600000;
2;50;0.110000000;0.920000000;184.040000000;46.566257108;7.361600000;1.862650284;0.150236735;0.038013271;1.404506122;20.476800000;
2;50;0.120000000;0.960000000;196.320000000;55.417694409;7.852800000;2.216707776;0.160261224;0.045238934;2.045714286;22.958400000;
2;50;0.130000000;1.000000000;213.120000000;65.038821911;8.524800000;2.601552876;0.173975510;0.053092916;2.118138776;27.072000000;
2;50;0.140000000;1.000000000;231.400000000;75.429639613;9.256000000;3.017185585;0.188897959;0.061575216;2.209926531;33.055200000;
2;50;0.150000000;0.960000000;246.480000000;86.590147515;9.859200000;3.463605901;0.201208163;0.070685835;2.025926531;36.369600000;
2;50;0.160000000;1.000000000;265.280000000;98.520345617;10.611200000;3.940813825;0.216555102;0.080424772;2.384326531;43.245600000;
2;50;0.170000000;1.000000000;275.680000000;111.220233919;11.027200000;4.448809357;0.225044898;0.090792028;2.420179592;46.236000000;
